id	name	popularity	available_markets	release_date	total_tracks
2B4vuaj4MjLdHpJhVkQcXa	Mega Pop Hits	0	94	2022-12-16	30
6yL80FKB8AKdDo8gviDhGA	Best Tunes of 2022	0	95	2022-12-16	43
6yL80FKB8AKdDo8gviDhGA	Best Tunes of 2022	0	95	2022-12-16	43
1P61UwaU3Irzkr9aG5XCMB	Mega Hits des Jahres 2022	0	95	2022-12-16	89
1P61UwaU3Irzkr9aG5XCMB	Mega Hits des Jahres 2022	0	95	2022-12-16	89
4ceg3FYaT9Zl5H1dJDXISG	Party Deluxe 2022/2023	0	94	2022-12-16	89
5DaM4PaFTN0mP4csuoA8SH	Silvester 2023	0	90	2022-12-16	98
1AttOIOFrGkOPNSq5mB4pd	See Tình	49	183	2022-02-20	1
5jDIXIxWf5W0uqPUuoKxZU	Em Không Khóc (feat. Vũ Phụng Tiên)	42	184	2022-03-28	1
6uBnpHfSuZsVHjuTmrd0Y8	3107 4 (feat. Erik, Nâu)	41	183	2022-07-31	1
2Q4OkyBdAr8dBlhPSMDbBw	Querry	41	183	2022-06-01	1
4qEl0OfTTPs6x8U2i62hYn	Quá Khứ Đôi, Hiện Tại Đơn	42	183	2022-09-24	1
7r2UDe86W9yNHVymWu02xG	SKY DECADE	49	184	2022-10-06	4
2gFDro6khW0bxUpEox990x	Người Như Anh	42	182	2022-10-20	1
5f98gaVgofuvHJ3ShsxqS5	Cô Đơn Trên Sofa	43	183	2022-10-19	1
1AFVTHHm7kKoQ6Rgb25x3p	LOVE DIVE	72	184	2022-04-05	2
2KYEVb4sh3jwCnSGysUPRB	Shay Nắnggg	43	184	2022-06-06	1
13x14kY27CueHj9F3OV6Mz	Tự Sự (Original Soundtrack from "Qua Bển Làm Chi")	42	184	2022-05-20	1
5xw006buOXTau3BQPzvjHZ	Ai muốn nghe không	41	183	2022-06-12	1
7r2UDe86W9yNHVymWu02xG	SKY DECADE	49	183	2022-10-06	4
1HMLpmZAnNyl9pxvOnTovV	NewJeans 1st EP 'New Jeans'	81	183	2022-08-01	4
2wGinO7YWLHN2sULIr4a7v	Indigo	55	183	2022-12-02	10
5f6SOjdAP8O6PPAPKwn8IX	Có Không Giữ Mất Đừng Tìm	43	183	2022-05-12	1
6al2VdKbb6FIz9d7lU7WRB	Proof	85	184	2022-06-10	35
151w1FgRZfnKZA9FEcg9Z3	Midnights	95	182	2022-10-21	13
2wGinO7YWLHN2sULIr4a7v	Indigo	55	183	2022-12-02	10
6hJV3dVl97mP4tTzXsToOT	Hẹn Ước Từ Hư Vô (Live)	41	183	2022-03-02	1
2wGinO7YWLHN2sULIr4a7v	Indigo	55	184	2022-12-02	10
2wGinO7YWLHN2sULIr4a7v	Indigo	55	184	2022-12-02	10
2wGinO7YWLHN2sULIr4a7v	Indigo	55	184	2022-12-02	10
151w1FgRZfnKZA9FEcg9Z3	Midnights	95	183	2022-10-21	13
2wGinO7YWLHN2sULIr4a7v	Indigo	55	183	2022-12-02	10
2wGinO7YWLHN2sULIr4a7v	Indigo	55	184	2022-12-02	10
2wGinO7YWLHN2sULIr4a7v	Indigo	55	184	2022-12-02	10
2wGinO7YWLHN2sULIr4a7v	Indigo	55	183	2022-12-02	10
2wGinO7YWLHN2sULIr4a7v	Indigo	55	183	2022-12-02	10
