id	name	artist	genres	artist_followers	artist_popularity	markets	album	released_date	album_popularity	duration	explicit	popularity
6xR4HTVCjQYHf8yRmH7sDJ	Hoa Nở Không Màu - Acoustic Version	Hoài Lâm	vietnamese bolero,v-pop	345599	42	184	Hoa Nở Không Màu (Acoustic Version)	2020-07-15	29	320333	False	40
7AzlLxHn24DxjgQX73F9fU	No Idea	Don Toliver	trap,rap	2422902	83	184	Heaven Or Hell	2020-03-13	76	154424	False	80
1IWNylpZ477gIVUDpJL66u	Sour Candy (with BLACKPINK)	Lady Gaga,BLACKPINK	pop,k-pop girl group,art pop,k-pop,dance pop	24181366,35313990	86,86	184	Chromatica	2020-05-29	73	157706	False	68
3fVVp7fCgNYbzLMj7Hkdoj	Dĩ Vãng Nhạt Nhoà	Lân Nhã	v-pop	39548	38	184	Một Thuở Yêu Người	2020-06-01	35	246882	False	40
38jkj6ZxI4JyrtXduPwDPv	Mùa Đông Chưa Bao Giờ Tới (feat. Vũ.)	Uyên Linh,Vũ.	vietnamese singer-songwriter,indie viet,rock viet,v-pop	175682,1385364	40,59	184	Mùa Đông Chưa Bao Giờ Tới (feat. Vũ.)	2020-11-30	27	267428	False	39
6l3nCMY1YbCaP9t0wrWkKa	Đêm Lao Xao	Bằng Kiều	v-pop,vietnamese pop	441990	45	184	Bằng Kiều Acoustic 2020	2020-04-04	37	298626	False	39
47ohYW8e7dxCYn9qbUMBCI	Christmas (Baby Please Come Home)	Darlene Love	adult standards	48030	72	184	Christmas (Baby, Please Come Home)	2020-12-04	71	166453	False	82
6qBFSepqLCuh5tehehc1bd	Like I Want You	Giveon	pop,r&b	2672606	80	184	TAKE TIME	2020-03-27	76	260776	False	78
0DGh73t9eaZA3X3ZXHf4Qe	Break My Heart Again	FINNEAS	alt z,pop,electropop,la indie	1776461	70	184	Blood Harmony (Deluxe)	2020-08-07	61	238012	False	72
53PoPAD389bBE4ePYuT95g	El Envidioso	Los Dos Carnales	musica mexicana,corrido,nueva musica mexicana,norteno	2306449	73	184	Al Estilo Rancheron	2020-07-10	61	191994	False	68
1WGVs8c2r0kLnl9rX72QTk	Versace	The Same Persons		1433	31	183	Versace	2020-09-08	37	152070	False	49
40OyiVO9NtBg9R2Gpwxs3u	LION	(G)I-DLE	k-pop,k-pop girl group	4570666	76	182	I trust	2020-04-06	62	210973	False	65
1vs3qUaKHWiY9p9Y9e9B8w	Ừ Có Anh Đây	Tino		302	20	183	Ừ Có Anh Đây	2020-10-17	26	365157	False	38
7F9Eacf2jzeJY8iZAvNRot	Điêu Toa	Masew,Pháo	vietnamese hip hop,v-pop	441769,49970	49,47	92	Điêu Toa	2020-09-13	26	180004	False	37
2VqK7TIkcS7QYyubTvXqOW	Dễ Đến Dễ Đi	Quang Hùng MasterD	v-pop	16842	38	183	Dễ Đến Dễ Đi	2020-11-01	32	270048	False	44
0DzPnTBSmVRKBQAmH3EomR	Million Days	SABAI,Hoang,Claire Ridgely	montreal indie,pop dance,pop edm,melodic dubstep	19586,16534,10717	55,52,54	183	Million Days	2020-02-11	53	208551	False	65
2RmIUFM4UkaLWPf120tPRC	Hướng Dương	HIEUTHUHAI	vietnamese hip hop,v-pop	314663	52	183	Hướng Dương	2020-07-07	26	178333	False	37
3nHbNyuUsVmtwHAcpeOrZR	Đây Là Rap Việt (feat. Wowy, Karik, Suboi, Binz, Rhymastic & JustaTee)	RAP VIỆT,Binz,JustaTee,Karik,Rhymastic,Suboi,Wowy	vietnamese trap,vietnamese hip hop,v-pop,vietnamese melodic rap	950908,802483,615465,166543,491930,123228,81582	48,52,55,50,52,36,37	183	Rap Việt, Vòng 1	2020-10-08	39	180600	False	38
0K6nLaBFIcUiqcTvMEWLpT	Tặng Anh Cho Cô Ấy	Hương Giang	v-pop	5754	32	183	Tặng Anh Cho Cô Ấy	2020-02-06	27	247880	False	39
2Z8yfpFX0ZMavHkcIeHiO1	Monster (Shawn Mendes & Justin Bieber)	Shawn Mendes,Justin Bieber	canadian pop,pop,dance pop,viral pop	40140620,68258556	85,91	182	Monster	2020-11-20	61	178994	False	73
25R8eDO6JmYdjRyvtTZCQj	Coming Home	Datmaniac,Tuimi,CROW ON HYENAS	vietnamese hip hop,vietnamese melodic rap	29231,2599,5611	28,25,30	183	Coming Home	2020-04-10	27	222406	False	38
5V8C02uAjGDyVW19CYvmnG	Phép Màu	B Ray	vietnamese hip hop,v-pop	372322	49	183	Phép Màu	2020-10-10	27	211696	False	38
1EPSczm2VQjyxTQ8DMRQ7Y	Ai Mang Cô Đơn Đi	K-ICM,APJ	v-pop	101612,192	34,24	183	Ai Mang Cô Đơn Đi	2020-08-28	28	221199	False	40
