id	name	artist	genres	followers	artist popularity	markets	album	release date	album popularity	duration	explicit	popularity
4HXETIjmbtwT1hYBYqZjPi	The Christmas Song (Chestnuts Roasting On An Open Fire)	Justin Bieber,Usher	contemporary r&b,canadian pop,urban contemporary,pop,atl hip hop,r&b,south carolina hip hop,dance pop	67146152,10081756	89,77	95	Hits Noel 2022	2022-10-27	20	216426	False	1
3qPYk7lYWA0ipkglu37Ezt	Bad Habits	Ed Sheeran	pop,uk pop	104581897	89	181	Èxitos España 2022	2022-10-28	22	230746	False	6
35LGl5LUefztwodJHWiYNk	Shivers	Ed Sheeran	pop,uk pop	104581897	89	133	Hits of 2022	2022-11-04	5	207853	False	3
0SwxKRhIKgvCMTbBuCTjwp	2step	Ed Sheeran,Lil Baby	trap,atl trap,uk pop,pop,atl hip hop,rap	104581897,12010642	89,89	132	All Out 2022	2022-11-04	5	163449	False	0
0GvZiaNncPcVGq5XjRNgLf	2step	Ed Sheeran,Lil Baby	trap,atl trap,uk pop,pop,atl hip hop,rap	104581897,12010642	89,89	128	Pop - Best of 2022	2022-11-04	2	163449	False	0
6SW1jgHhd03pCaUxP0WlNh	Barbarians in Black - 2022 Remix	Armored Dawn	brazilian metal	15873	42	183	Barbarians in Black (2022 Remix)	2022-10-21	38	233408	False	49
4dyHqF3c6kWXgRlKT2CQGf	Christmas Eve	Justin Bieber	pop,canadian pop	67146152	89	95	Hits Noël 2022	2022-10-27	5	223613	False	1
13wT44sqr50RmcZHmXQibZ	2step	Ed Sheeran,Lil Baby	trap,atl trap,uk pop,pop,atl hip hop,rap	104581897,12010642	89,89	134	Mood Boosters 2022	2022-11-04	7	163449	False	1
4E6Z1omDjKGNvPf8fkyZYC	Fa La La	Justin Bieber,Boyz II Men	boy band,contemporary r&b,canadian pop,urban contemporary,pop,new jack swing,r&b	67146152,2604482	89,64	95	Weihnachten 2022	2022-11-08	2	185560	False	0
1MZYe5c9JWaDIC1KRiUtWz	Santa Claus Is Coming To Town	Justin Bieber	pop,canadian pop	67146152	89	95	Hits Noël 2022	2022-10-27	5	216720	False	2
5sK5TqEJh5kVv06bNRsXeV	2022	VNM,Gibbs,Dopehouse	polish hip hop	63397,106043,1025	43,68,56	182	Dopehouse Mixtape	2022-08-25	63	211633	True	46
0lbtRkC7Bs9aR3ZYvtZydi	Good Person (2022)	HAECHAN		101845	42	183	Good Person (2022)	2022-03-05	49	280000	False	60
4HcvaMoGILw568ZBat7YgV	2022 RS	Donearl		3330	27	183	2022 RS	2022-02-11	24	124485	True	35
2F1Z3G7IZKissAgLtZSUup	2022	Battz	christian trap	6193	34	183	2022	2021-12-31	21	114000	False	32
6cPF8pgfHsREOI5X0AQdG5	Bad Gyal - 2022 Remastered Version	Dmayah,Miliboy		4261,7	39,28	183	Bad Gyal (2022 Remastered Version)	2018-05-21	35	214680	False	46
5e1AGqH9KmvBP14g9Eq1UQ	The Joker and the Queen	Ed Sheeran	pop,uk pop	104581897	89	181	Pop 2022	2022-11-04	6	185586	False	3
2iwUrxb6vmPcEyLtP9eQBd	Christmas Tree Farm	Taylor Swift	pop	61597049	100	95	Santa Baby - Christmas 2022	2022-11-08	2	228026	False	1
2MogIqOH9I7hlbWQrVA5AK	2022	Zeballos	rap uruguayo	143728	55	183	2022	2022-03-11	20	164722	False	31
4TC6oUaTOBdPZ792aT2b0x	Bad Habits - Joel Corry Remix	Ed Sheeran,Joel Corry	pop dance,uk pop,pop,tropical house,uk dance,dance pop,edm	104581897,307412	89,74	179	Top Tracks 2022	2022-11-04	4	189577	False	1
1qcpSQiAl6kajIIOCqoFsp	2022 FLOW	Sikander Kahlon	desi hip hop,punjabi hip hop	47518	47	183	2022 FLOW	2022-01-01	23	231577	True	34
1exKwWSopEskHf03qhPxAU	Keyboard Suite in C Major, K. 399: II. Allemande (Remastered 2022)	Wolfgang Amadeus Mozart,Ralph Kirkpatrick	harpsichord,historical keyboard,classical,classical era	4700724,840	74,16	183	Mozart: Piano Works (Remastered 2022)	2022-11-04	14	218293	False	10
6ueReF0anWJcNwNKqsprpF	Keyboard Suite in C Major, K. 399: III. Courante (Remastered 2022)	Wolfgang Amadeus Mozart,Ralph Kirkpatrick	harpsichord,historical keyboard,classical,classical era	4700724,840	74,16	183	Mozart: Piano Works (Remastered 2022)	2022-11-04	14	133173	False	10
4flt30MTTXiCBrzgG1p7NU	Piano Sonata No. 17 in B-Flat Major, K. 570: I. Allegro (Remastered 2022)	Wolfgang Amadeus Mozart,Ralph Kirkpatrick	harpsichord,historical keyboard,classical,classical era	4700724,840	74,16	183	Mozart: Piano Works (Remastered 2022)	2022-11-04	14	470266	False	13
5Oh5oaxePqN0P4xVXa9Vzt	Piano Sonata No. 17 in B-Flat Major, K. 570: II. Adagio (Remastered 2022)	Wolfgang Amadeus Mozart,Ralph Kirkpatrick	harpsichord,historical keyboard,classical,classical era	4700724,840	74,16	183	Mozart: Piano Works (Remastered 2022)	2022-11-04	14	429606	False	11
0V3wPSX9ygBnCm8psDIegu	Anti-Hero	Taylor Swift	pop	61597049	100	182	Midnights	2022-10-21	97	200690	False	96
2pIUpMhHL6L9Z5lnKxJJr9	Attention	NewJeans	k-pop girl group,k-pop	859125	74	183	NewJeans 1st EP 'New Jeans'	2022-08-01	81	180066	False	85
5quFr5s5PXYfUX5jV2EBZ1	GANADARA (Feat. IU)	Jay Park,IU	korean r&b,k-pop,pop,k-rap	1814467,7491277	65,70	183	GANADARA	2022-03-11	55	203727	False	67
7EyhPjrJzjx0fk2i7vUJCS	Pink Venom	BLACKPINK	k-pop girl group,k-pop	34095593	86	54	Pink Venom	2022-08-19	70	186964	False	81
