id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
1A3T3npKsrElQTjTEcr3LR	0.739	0.873	2	-2.595	1	0.0878	0.268	0	0.0454	0.863	141.026	207867	4	pop
7HYT9fyOhJBpuev4OdicNK	0.421	0.835	9	-5.199	1	0.105	0.122	0	0.587	0.236	172.088	233429	4	indie viet
6YBcbXDYIITuyCEN2YwGRy	0.693	0.586	5	-6.098	0	0.0315	0.233	0	0.145	0.459	82.039	263680	4	k-pop
46LAHXpuIUZ5kR7AyQ1qmd	0.516	0.323	2	-9.688	1	0.0716	0.489	4.82e-06	0.189	0.386	159.861	217040	3	electropop
6W4SftknKhWj0iFoHN7aYU	0.394	0.398	0	-10.202	1	0.219	0.573	0	0.313	0.361	78.438	174300	3	pop
0ACt3PP22HyKfpFIV6AQUW	0.515	0.321	4	-9.851	0	0.0742	0.841	5.75e-05	0.338	0.242	153.024	144960	4	chill r&b
6GH4tLwGW6HliKbZBdt6hD	0.429	0.214	1	-12.261	1	0.242	0.897	0	0.105	0.189	77.849	155361	4	dance pop
3eJH2nAjvNXdmPfBkALiPZ	0.774	0.792	10	-4.021	1	0.0523	0.051	0	0.155	0.507	122.062	139672	4	dance pop
7r7j12XctfJqZWXsy1Zq9L	0.487	0.486	0	-6.548	1	0.0334	0.402	0	0.401	0.529	129.765	232656	4	pop
40uMIn2zJLAQhNXghRjBed	0.797	0.631	3	-3.818	0	0.0786	0.0904	3.71e-06	0.0998	0.288	129.915	184213	4	dfw rap
26kVXR9aQXzDiKggPGnUQR	0.743	0.666	11	-8.337	1	0.0546	0.432	1.77e-05	0.129	0.492	101.002	158360	4	alt z
7nsk0cwY5kfxBT21WEzmC0	0.633	0.911	3	-2.903	0	0.0424	0.145	0	0.335	0.949	154.044	187792	4	arrocha
5BFz4pXzknmYYctjvLKJAB	0.693	0.843	10	-4.876	0	0.0468	0.357	0.000694	0.0936	0.962	166.036	169808	4	arrocha
1GhbOK9SqtPkObukdejKTq	0.5	0.46	8	-7.652	0	0.0328	0.403	0.0495	0.107	0.331	83.838	175929	4	turkish alt pop
48m5UXwNTD7cddHC6xRiFk	0.554	0.745	1	-3.584	1	0.0923	0.282	0	0.301	0.603	154.067	162159	4	arrocha
6ICCVEkKZwoTsjOOdqY1g5	0.857	0.908	10	-4.045	1	0.0412	0.184	0	0.343	0.96	115.714	147002	4	latin hip hop
78APwJSo30uWBB5PWROMNw	0.548	0.506	0	-5.093	1	0.0292	0.561	0	0.076	0.525	79.053	207251	4	arrocha
2x4MvuyWB5uYhqlKuu7w7T	0.533	0.557	0	-5.842	1	0.0353	0.641	0.000183	0.15	0.143	95.911	252500	4	v-pop
2DPCUKtXhknFwwBbo85GjG	0.622	0.789	6	-9.845	0	0.109	0.263	1.24e-06	0.193	0.775	89.979	284493	4	vietnamese hip hop
5OqVWkQlXJSYwlgMkmOSEI	0.898	0.543	1	-9.262	1	0.112	0.655	0	0.0599	0.96	139.978	168004	4	vietnamese melodic rap
7cyd5l50nVs5ZNIBZOmYYO	0.924	0.596	6	-3.855	0	0.0575	0.0459	0.00114	0.359	0.929	128.001	213755	4	viet remix
7DQ9Z9xGsiLG3DGAHBTjD5	0.795	0.306	7	-20.517	1	0.26	0.204	0.00499	0.106	0.531	124.989	223969	4	vietnamese hip hop
5mpWGq83n0sIgGRopGk5QZ	0.821	0.602	5	-2.916	0	0.0907	0.286	0	0.0862	0.776	179.932	192808	4	k-pop
5cqjXHVSyVz2LP9r6K304N	0.524	0.371	3	-9.324	1	0.0428	0.874	0	0.133	0.407	149.175	195648	4	
1GvBZXrPj0ZUmhNB5OuUzD	0.798	0.528	0	-9.064	0	0.0332	0.769	0	0.211	0.764	120.019	160156	4	
